MEDC_ID,MEDC_CD,MEDC_NAME,MEDC_COND,MEDC_CATG,MANF_BRND,EXEC_ID
36,1029,Medicament1029,Cond10,CategoryMed44,MarqueMed18,12345
37,103,Medicament103,Cond6,CategoryMed16,MarqueMed16,12345
38,1030,Medicament1030,Cond12,CategoryMed22,MarqueMed22,12345
39,1031,Medicament1031,Cond6,CategoryMed44,MarqueMed3,12345
40,1032,Medicament1032,Cond11,CategoryMed12,MarqueMed21,12345
41,1033,Medicament1033,Cond1,CategoryMed29,MarqueMed3,12345
42,1034,Medicament1034,Cond12,CategoryMed42,MarqueMed12,12345
43,1035,Medicament1035,Cond10,CategoryMed36,MarqueMed3,12345
44,1036,Medicament1036,Cond12,CategoryMed19,MarqueMed19,12345
45,1037,Medicament1037,Cond4,CategoryMed34,MarqueMed17,12345
46,1038,Medicament1038,Cond11,CategoryMed19,MarqueMed17,12345
47,1039,Medicament1039,Cond10,CategoryMed22,MarqueMed12,12345
48,104,Medicament104,Cond13,CategoryMed13,MarqueMed23,12345
49,1040,Medicament1040,Cond10,CategoryMed1,MarqueMed19,12345
50,1041,Medicament1041,Cond12,CategoryMed44,MarqueMed16,12345
51,1042,Medicament1042,Cond6,CategoryMed26,MarqueMed4,12345
52,1043,Medicament1043,Cond8,CategoryMed33,MarqueMed3,12345
53,1044,Medicament1044,Cond12,CategoryMed5,MarqueMed22,12345
54,1045,Medicament1045,Cond8,CategoryMed18,MarqueMed14,12345
55,1046,Medicament1046,Cond5,CategoryMed48,MarqueMed11,12345
56,1047,Medicament1047,Cond12,CategoryMed14,MarqueMed18,12345
57,1048,Medicament1048,Cond4,CategoryMed49,MarqueMed9,12345
58,1049,Medicament1049,Cond3,CategoryMed41,MarqueMed15,12345
59,105,Medicament105,Cond10,CategoryMed32,MarqueMed4,12345
60,1050,Medicament1050,Cond4,CategoryMed11,MarqueMed1,12345
61,1051,Medicament1051,Cond4,CategoryMed28,MarqueMed23,12345
62,1052,Medicament1052,Cond3,CategoryMed20,MarqueMed1,12345
63,1053,Medicament1053,Cond2,CategoryMed17,MarqueMed5,12345
64,1054,Medicament1054,Cond4,CategoryMed21,MarqueMed20,12345
65,1055,Medicament1055,Cond9,CategoryMed37,MarqueMed8,12345
66,1056,Medicament1056,Cond8,CategoryMed25,MarqueMed2,12345
67,1057,Medicament1057,Cond9,CategoryMed5,MarqueMed10,12345
68,1058,Medicament1058,Cond4,CategoryMed15,MarqueMed20,12345
69,1059,Medicament1059,Cond8,CategoryMed10,MarqueMed18,12345
70,106,Medicament106,Cond5,CategoryMed10,MarqueMed9,12345
71,1060,Medicament1060,Cond2,CategoryMed10,MarqueMed10,12345
72,1061,Medicament1061,Cond2,CategoryMed39,MarqueMed15,12345
73,1062,Medicament1062,Cond13,CategoryMed10,MarqueMed17,12345
74,1063,Medicament1063,Cond13,CategoryMed37,MarqueMed16,12345
75,1064,Medicament1064,Cond1,CategoryMed4,MarqueMed20,12345
76,1065,Medicament1065,Cond10,CategoryMed35,MarqueMed11,12345
77,1066,Medicament1066,Cond10,CategoryMed23,MarqueMed21,12345
78,1067,Medicament1067,Cond2,CategoryMed2,MarqueMed10,12345
79,1068,Medicament1068,Cond10,CategoryMed44,MarqueMed3,12345
80,1069,Medicament1069,Cond5,CategoryMed13,MarqueMed8,12345
81,107,Medicament107,Cond6,CategoryMed40,MarqueMed3,12345
82,1070,Medicament1070,Cond5,CategoryMed46,MarqueMed2,12345
83,1071,Medicament1071,Cond12,CategoryMed50,MarqueMed15,12345
84,1072,Medicament1072,Cond5,CategoryMed30,MarqueMed7,12345
85,1073,Medicament1073,Cond9,CategoryMed18,MarqueMed15,12345
86,1074,Medicament1074,Cond11,CategoryMed35,MarqueMed1,12345
87,1075,Medicament1075,Cond13,CategoryMed22,MarqueMed9,12345
88,1076,Medicament1076,Cond11,CategoryMed45,MarqueMed22,12345
89,1077,Medicament1077,Cond7,CategoryMed34,MarqueMed3,12345
90,1078,Medicament1078,Cond4,CategoryMed20,MarqueMed13,12345
91,1079,Medicament1079,Cond5,CategoryMed25,MarqueMed12,12345
92,108,Medicament108,Cond9,CategoryMed49,MarqueMed13,12345
93,1080,Medicament1080,Cond5,CategoryMed12,MarqueMed7,12345
94,1081,Medicament1081,Cond3,CategoryMed30,MarqueMed15,12345
95,1082,Medicament1082,Cond6,CategoryMed41,MarqueMed14,12345
96,1083,Medicament1083,Cond6,CategoryMed4,MarqueMed6,12345
97,1084,Medicament1084,Cond6,CategoryMed47,MarqueMed23,12345
98,1085,Medicament1085,Cond3,CategoryMed6,MarqueMed15,12345
99,1086,Medicament1086,Cond4,CategoryMed43,MarqueMed9,12345
100,1087,Medicament1087,Cond1,CategoryMed13,MarqueMed21,12345
101,1088,Medicament1088,Cond9,CategoryMed18,MarqueMed17,12345
102,1089,Medicament1089,Cond7,CategoryMed46,MarqueMed10,12345
103,109,Medicament109,Cond6,CategoryMed9,MarqueMed8,12345
104,1090,Medicament1090,Cond8,CategoryMed17,MarqueMed18,12345
105,1091,Medicament1091,Cond1,CategoryMed41,MarqueMed22,12345
106,1092,Medicament1092,Cond7,CategoryMed1,MarqueMed20,12345
107,1093,Medicament1093,Cond2,CategoryMed50,MarqueMed4,12345
108,1094,Medicament1094,Cond7,CategoryMed24,MarqueMed11,12345
109,1095,Medicament1095,Cond9,CategoryMed43,MarqueMed12,12345
110,1096,Medicament1096,Cond11,CategoryMed26,MarqueMed19,12345
111,1097,Medicament1097,Cond11,CategoryMed41,MarqueMed18,12345
112,1098,Medicament1098,Cond3,CategoryMed46,MarqueMed20,12345
113,1099,Medicament1099,Cond6,CategoryMed8,MarqueMed16,12345
114,11,Medicament11,Cond2,CategoryMed31,MarqueMed3,12345
115,110,Medicament110,Cond12,CategoryMed25,MarqueMed11,12345
116,1100,Medicament1100,Cond6,CategoryMed24,MarqueMed6,12345
117,1101,Medicament1101,Cond2,CategoryMed25,MarqueMed8,12345
118,1102,Medicament1102,Cond8,CategoryMed23,MarqueMed21,12345
119,1103,Medicament1103,Cond2,CategoryMed44,MarqueMed1,12345
120,1104,Medicament1104,Cond5,CategoryMed35,MarqueMed1,12345
121,1105,Medicament1105,Cond4,CategoryMed9,MarqueMed2,12345
122,1106,Medicament1106,Cond6,CategoryMed7,MarqueMed9,12345
123,1107,Medicament1107,Cond4,CategoryMed39,MarqueMed1,12345
124,1108,Medicament1108,Cond5,CategoryMed40,MarqueMed18,12345
125,1109,Medicament1109,Cond13,CategoryMed15,MarqueMed9,12345
126,111,Medicament111,Cond11,CategoryMed30,MarqueMed22,12345
127,1110,Medicament1110,Cond5,CategoryMed17,MarqueMed13,12345
128,1111,Medicament1111,Cond3,CategoryMed1,MarqueMed12,12345
129,1112,Medicament1112,Cond1,CategoryMed20,MarqueMed5,12345
130,1113,Medicament1113,Cond5,CategoryMed17,MarqueMed19,12345
131,1114,Medicament1114,Cond3,CategoryMed13,MarqueMed2,12345
132,1115,Medicament1115,Cond6,CategoryMed22,MarqueMed17,12345
133,1116,Medicament1116,Cond4,CategoryMed24,MarqueMed9,12345
134,1117,Medicament1117,Cond13,CategoryMed50,MarqueMed15,12345
135,1118,Medicament1118,Cond4,CategoryMed48,MarqueMed14,12345
136,1119,Medicament1119,Cond2,CategoryMed41,MarqueMed1,12345
137,112,Medicament112,Cond12,CategoryMed43,MarqueMed20,12345
138,1120,Medicament1120,Cond5,CategoryMed17,MarqueMed5,12345
139,1121,Medicament1121,Cond7,CategoryMed32,MarqueMed20,12345
140,1122,Medicament1122,Cond2,CategoryMed47,MarqueMed8,12345
141,1123,Medicament1123,Cond12,CategoryMed43,MarqueMed2,12345
142,1124,Medicament1124,Cond2,CategoryMed50,MarqueMed20,12345
143,1125,Medicament1125,Cond6,CategoryMed18,MarqueMed7,12345
144,1126,Medicament1126,Cond7,CategoryMed26,MarqueMed20,12345
145,1127,Medicament1127,Cond6,CategoryMed49,MarqueMed5,12345
146,1128,Medicament1128,Cond3,CategoryMed42,MarqueMed13,12345
147,1129,Medicament1129,Cond8,CategoryMed50,MarqueMed3,12345
148,113,Medicament113,Cond10,CategoryMed39,MarqueMed10,12345
149,1130,Medicament1130,Cond1,CategoryMed3,MarqueMed7,12345
150,1131,Medicament1131,Cond2,CategoryMed2,MarqueMed10,12345
151,1132,Medicament1132,Cond13,CategoryMed44,MarqueMed21,12345
152,1133,Medicament1133,Cond4,CategoryMed5,MarqueMed21,12345
153,1134,Medicament1134,Cond7,CategoryMed3,MarqueMed1,12345
154,1135,Medicament1135,Cond5,CategoryMed46,MarqueMed11,12345
155,1136,Medicament1136,Cond4,CategoryMed37,MarqueMed13,12345
156,1137,Medicament1137,Cond4,CategoryMed33,MarqueMed15,12345
157,1138,Medicament1138,Cond8,CategoryMed27,MarqueMed1,12345
158,1139,Medicament1139,Cond1,CategoryMed8,MarqueMed8,12345
159,114,Medicament114,Cond12,CategoryMed6,MarqueMed1,12345
160,1140,Medicament1140,Cond13,CategoryMed27,MarqueMed6,12345
161,1141,Medicament1141,Cond10,CategoryMed7,MarqueMed17,12345
162,1142,Medicament1142,Cond11,CategoryMed50,MarqueMed21,12345
163,1143,Medicament1143,Cond11,CategoryMed39,MarqueMed16,12345
164,1144,Medicament1144,Cond7,CategoryMed43,MarqueMed16,12345
165,1145,Medicament1145,Cond10,CategoryMed45,MarqueMed12,12345
166,1146,Medicament1146,Cond13,CategoryMed20,MarqueMed6,12345
167,1147,Medicament1147,Cond10,CategoryMed47,MarqueMed10,12345
168,1148,Medicament1148,Cond11,CategoryMed2,MarqueMed10,12345
169,1149,Medicament1149,Cond11,CategoryMed1,MarqueMed16,12345
170,115,Medicament115,Cond6,CategoryMed34,MarqueMed1,12345
171,1150,Medicament1150,Cond2,CategoryMed35,MarqueMed19,12345
172,1151,Medicament1151,Cond1,CategoryMed43,MarqueMed13,12345
173,1152,Medicament1152,Cond2,CategoryMed19,MarqueMed20,12345
174,1153,Medicament1153,Cond2,CategoryMed50,MarqueMed19,12345
175,1154,Medicament1154,Cond3,CategoryMed42,MarqueMed4,12345
176,1155,Medicament1155,Cond12,CategoryMed7,MarqueMed6,12345
177,1156,Medicament1156,Cond3,CategoryMed3,MarqueMed10,12345
178,1157,Medicament1157,Cond8,CategoryMed3,MarqueMed15,12345
179,1158,Medicament1158,Cond9,CategoryMed8,MarqueMed11,12345
180,1159,Medicament1159,Cond12,CategoryMed22,MarqueMed4,12345
181,116,Medicament116,Cond12,CategoryMed18,MarqueMed23,12345
182,1160,Medicament1160,Cond6,CategoryMed48,MarqueMed11,12345
183,1161,Medicament1161,Cond2,CategoryMed19,MarqueMed23,12345
184,1162,Medicament1162,Cond5,CategoryMed4,MarqueMed4,12345
185,1163,Medicament1163,Cond5,CategoryMed36,MarqueMed12,12345
186,1164,Medicament1164,Cond9,CategoryMed38,MarqueMed22,12345
187,1165,Medicament1165,Cond12,CategoryMed45,MarqueMed15,12345
188,1166,Medicament1166,Cond2,CategoryMed26,MarqueMed6,12345
189,1167,Medicament1167,Cond13,CategoryMed10,MarqueMed13,12345
190,1168,Medicament1168,Cond13,CategoryMed48,MarqueMed19,12345
191,1169,Medicament1169,Cond10,CategoryMed41,MarqueMed3,12345
192,117,Medicament117,Cond1,CategoryMed38,MarqueMed23,12345
193,1170,Medicament1170,Cond9,CategoryMed7,MarqueMed16,12345
194,1171,Medicament1171,Cond13,CategoryMed27,MarqueMed7,12345
195,1172,Medicament1172,Cond11,CategoryMed4,MarqueMed23,12345
196,1173,Medicament1173,Cond13,CategoryMed35,MarqueMed19,12345
197,1174,Medicament1174,Cond1,CategoryMed19,MarqueMed20,12345
198,1175,Medicament1175,Cond9,CategoryMed28,MarqueMed17,12345
199,1176,Medicament1176,Cond3,CategoryMed30,MarqueMed8,12345
200,1177,Medicament1177,Cond2,CategoryMed31,MarqueMed21,12345
201,1178,Medicament1178,Cond8,CategoryMed4,MarqueMed16,12345
202,1179,Medicament1179,Cond5,CategoryMed22,MarqueMed7,12345
203,118,Medicament118,Cond6,CategoryMed43,MarqueMed3,12345
204,1180,Medicament1180,Cond4,CategoryMed44,MarqueMed16,12345
205,1181,Medicament1181,Cond9,CategoryMed20,MarqueMed15,12345
206,1182,Medicament1182,Cond4,CategoryMed48,MarqueMed16,12345
207,1183,Medicament1183,Cond8,CategoryMed3,MarqueMed10,12345
208,1184,Medicament1184,Cond1,CategoryMed25,MarqueMed23,12345
209,1185,Medicament1185,Cond11,CategoryMed33,MarqueMed19,12345
210,1186,Medicament1186,Cond6,CategoryMed29,MarqueMed11,12345
211,1187,Medicament1187,Cond12,CategoryMed24,MarqueMed19,12345
212,1188,Medicament1188,Cond4,CategoryMed33,MarqueMed1,12345
213,1189,Medicament1189,Cond7,CategoryMed12,MarqueMed23,12345
214,119,Medicament119,Cond11,CategoryMed1,MarqueMed1,12345
215,1190,Medicament1190,Cond2,CategoryMed46,MarqueMed11,12345
216,1191,Medicament1191,Cond8,CategoryMed30,MarqueMed6,12345
217,1192,Medicament1192,Cond11,CategoryMed42,MarqueMed8,12345
218,1193,Medicament1193,Cond5,CategoryMed43,MarqueMed12,12345
219,1194,Medicament1194,Cond2,CategoryMed47,MarqueMed17,12345
220,1195,Medicament1195,Cond3,CategoryMed26,MarqueMed11,12345
221,1196,Medicament1196,Cond7,CategoryMed2,MarqueMed2,12345
222,1197,Medicament1197,Cond1,CategoryMed5,MarqueMed21,12345
223,1198,Medicament1198,Cond3,CategoryMed45,MarqueMed22,12345
224,1199,Medicament1199,Cond5,CategoryMed3,MarqueMed9,12345
225,12,Medicament12,Cond4,CategoryMed49,MarqueMed1,12345
226,120,Medicament120,Cond6,CategoryMed11,MarqueMed10,12345
227,1200,Medicament1200,Cond1,CategoryMed23,MarqueMed7,12345
228,1201,Medicament1201,Cond2,CategoryMed3,MarqueMed1,12345
229,1202,Medicament1202,Cond3,CategoryMed26,MarqueMed2,12345
230,1203,Medicament1203,Cond4,CategoryMed40,MarqueMed1,12345
231,1204,Medicament1204,Cond6,CategoryMed18,MarqueMed21,12345
232,1205,Medicament1205,Cond10,CategoryMed37,MarqueMed22,12345
233,1206,Medicament1206,Cond6,CategoryMed38,MarqueMed1,12345
234,1207,Medicament1207,Cond11,CategoryMed14,MarqueMed17,12345
235,1208,Medicament1208,Cond5,CategoryMed31,MarqueMed10,12345
236,1209,Medicament1209,Cond11,CategoryMed21,MarqueMed4,12345
237,121,Medicament121,Cond13,CategoryMed16,MarqueMed20,12345
238,1210,Medicament1210,Cond5,CategoryMed27,MarqueMed12,12345
239,1211,Medicament1211,Cond10,CategoryMed29,MarqueMed9,12345
240,1212,Medicament1212,Cond1,CategoryMed10,MarqueMed9,12345
241,1213,Medicament1213,Cond6,CategoryMed27,MarqueMed14,12345
242,1214,Medicament1214,Cond7,CategoryMed6,MarqueMed9,12345
243,1215,Medicament1215,Cond6,CategoryMed27,MarqueMed2,12345
244,1216,Medicament1216,Cond4,CategoryMed1,MarqueMed8,12345
245,1217,Medicament1217,Cond8,CategoryMed10,MarqueMed12,12345
246,1218,Medicament1218,Cond13,CategoryMed23,MarqueMed7,12345
247,1219,Medicament1219,Cond8,CategoryMed4,MarqueMed12,12345
248,122,Medicament122,Cond3,CategoryMed18,MarqueMed15,12345
249,1220,Medicament1220,Cond7,CategoryMed23,MarqueMed15,12345
250,1221,Medicament1221,Cond13,CategoryMed48,MarqueMed4,12345
251,1222,Medicament1222,Cond2,CategoryMed39,MarqueMed9,12345
252,1223,Medicament1223,Cond13,CategoryMed29,MarqueMed6,12345
253,1224,Medicament1224,Cond11,CategoryMed18,MarqueMed22,12345
254,1225,Medicament1225,Cond11,CategoryMed43,MarqueMed6,12345
255,1226,Medicament1226,Cond7,CategoryMed31,MarqueMed19,12345
256,1227,Medicament1227,Cond2,CategoryMed2,MarqueMed14,12345
257,1228,Medicament1228,Cond8,CategoryMed14,MarqueMed14,12345
258,1229,Medicament1229,Cond13,CategoryMed15,MarqueMed10,12345
259,123,Medicament123,Cond9,CategoryMed47,MarqueMed20,12345
260,1230,Medicament1230,Cond2,CategoryMed5,MarqueMed12,12345
261,1231,Medicament1231,Cond8,CategoryMed30,MarqueMed19,12345
262,1232,Medicament1232,Cond11,CategoryMed17,MarqueMed1,12345
263,1233,Medicament1233,Cond8,CategoryMed49,MarqueMed18,12345
264,1234,Medicament1234,Cond13,CategoryMed32,MarqueMed21,12345
265,1235,Medicament1235,Cond3,CategoryMed8,MarqueMed6,12345
266,1236,Medicament1236,Cond11,CategoryMed22,MarqueMed3,12345
267,1237,Medicament1237,Cond4,CategoryMed10,MarqueMed4,12345
268,1238,Medicament1238,Cond1,CategoryMed3,MarqueMed2,12345
269,1239,Medicament1239,Cond9,CategoryMed39,MarqueMed6,12345
270,124,Medicament124,Cond13,CategoryMed3,MarqueMed7,12345
271,1240,Medicament1240,Cond5,CategoryMed22,MarqueMed7,12345
272,1241,Medicament1241,Cond6,CategoryMed21,MarqueMed12,12345
273,1242,Medicament1242,Cond1,CategoryMed37,MarqueMed6,12345
274,1243,Medicament1243,Cond10,CategoryMed1,MarqueMed15,12345
275,1244,Medicament1244,Cond13,CategoryMed4,MarqueMed15,12345
276,1245,Medicament1245,Cond5,CategoryMed36,MarqueMed4,12345
277,1246,Medicament1246,Cond6,CategoryMed37,MarqueMed19,12345
278,1247,Medicament1247,Cond1,CategoryMed18,MarqueMed5,12345
279,1248,Medicament1248,Cond2,CategoryMed22,MarqueMed12,12345
280,1249,Medicament1249,Cond5,CategoryMed5,MarqueMed13,12345
281,125,Medicament125,Cond9,CategoryMed29,MarqueMed6,12345
282,1250,Medicament1250,Cond9,CategoryMed20,MarqueMed11,12345
283,1251,Medicament1251,Cond4,CategoryMed15,MarqueMed20,12345
284,1252,Medicament1252,Cond6,CategoryMed45,MarqueMed4,12345
285,1253,Medicament1253,Cond5,CategoryMed19,MarqueMed23,12345
286,1254,Medicament1254,Cond9,CategoryMed15,MarqueMed13,12345
287,1255,Medicament1255,Cond3,CategoryMed24,MarqueMed21,12345
288,1256,Medicament1256,Cond13,CategoryMed2,MarqueMed10,12345
289,1257,Medicament1257,Cond10,CategoryMed31,MarqueMed4,12345
290,1258,Medicament1258,Cond2,CategoryMed41,MarqueMed22,12345
291,1259,Medicament1259,Cond4,CategoryMed9,MarqueMed23,12345
292,126,Medicament126,Cond11,CategoryMed7,MarqueMed11,12345
293,1260,Medicament1260,Cond10,CategoryMed40,MarqueMed7,12345
294,1261,Medicament1261,Cond13,CategoryMed27,MarqueMed1,12345
295,1262,Medicament1262,Cond4,CategoryMed7,MarqueMed20,12345
296,1263,Medicament1263,Cond5,CategoryMed27,MarqueMed21,12345
297,1264,Medicament1264,Cond12,CategoryMed49,MarqueMed2,12345
298,1265,Medicament1265,Cond9,CategoryMed44,MarqueMed1,12345
299,1266,Medicament1266,Cond2,CategoryMed19,MarqueMed18,12345
300,1267,Medicament1267,Cond12,CategoryMed20,MarqueMed10,12345
301,1268,Medicament1268,Cond4,CategoryMed50,MarqueMed22,12345
302,1269,Medicament1269,Cond11,CategoryMed48,MarqueMed17,12345
303,127,Medicament127,Cond4,CategoryMed28,MarqueMed16,12345
304,1270,Medicament1270,Cond2,CategoryMed7,MarqueMed2,12345
305,1271,Medicament1271,Cond1,CategoryMed24,MarqueMed10,12345
306,1272,Medicament1272,Cond3,CategoryMed38,MarqueMed7,12345
307,1273,Medicament1273,Cond13,CategoryMed41,MarqueMed22,12345
308,1274,Medicament1274,Cond12,CategoryMed2,MarqueMed19,12345
309,1275,Medicament1275,Cond3,CategoryMed34,MarqueMed11,12345
310,1276,Medicament1276,Cond9,CategoryMed36,MarqueMed21,12345
311,1277,Medicament1277,Cond9,CategoryMed4,MarqueMed14,12345
312,1278,Medicament1278,Cond12,CategoryMed10,MarqueMed6,12345
313,1279,Medicament1279,Cond11,CategoryMed22,MarqueMed12,12345
314,128,Medicament128,Cond7,CategoryMed15,MarqueMed21,12345
315,1280,Medicament1280,Cond11,CategoryMed25,MarqueMed7,12345
316,1281,Medicament1281,Cond6,CategoryMed20,MarqueMed8,12345
317,1282,Medicament1282,Cond5,CategoryMed23,MarqueMed1,12345
318,1283,Medicament1283,Cond13,CategoryMed34,MarqueMed1,12345
319,1284,Medicament1284,Cond8,CategoryMed21,MarqueMed20,12345
320,1285,Medicament1285,Cond8,CategoryMed23,MarqueMed23,12345
321,1286,Medicament1286,Cond11,CategoryMed28,MarqueMed21,12345
322,1287,Medicament1287,Cond10,CategoryMed2,MarqueMed5,12345
323,1288,Medicament1288,Cond13,CategoryMed40,MarqueMed10,12345
324,1289,Medicament1289,Cond11,CategoryMed17,MarqueMed9,12345
325,129,Medicament129,Cond6,CategoryMed50,MarqueMed1,12345
326,1290,Medicament1290,Cond9,CategoryMed26,MarqueMed17,12345
327,1291,Medicament1291,Cond8,CategoryMed19,MarqueMed17,12345
328,1292,Medicament1292,Cond7,CategoryMed19,MarqueMed21,12345
329,1293,Medicament1293,Cond10,CategoryMed3,MarqueMed20,12345
330,1294,Medicament1294,Cond1,CategoryMed11,MarqueMed8,12345
331,1295,Medicament1295,Cond9,CategoryMed36,MarqueMed10,12345
332,1296,Medicament1296,Cond1,CategoryMed47,MarqueMed13,12345
333,1297,Medicament1297,Cond7,CategoryMed13,MarqueMed10,12345
334,1298,Medicament1298,Cond12,CategoryMed40,MarqueMed4,12345
335,1299,Medicament1299,Cond6,CategoryMed26,MarqueMed23,12345
336,13,Medicament13,Cond8,CategoryMed28,MarqueMed12,12345
337,130,Medicament130,Cond5,CategoryMed44,MarqueMed6,12345
338,1300,Medicament1300,Cond7,CategoryMed24,MarqueMed6,12345
339,1301,Medicament1301,Cond3,CategoryMed18,MarqueMed12,12345
340,1302,Medicament1302,Cond10,CategoryMed8,MarqueMed21,12345
341,1303,Medicament1303,Cond13,CategoryMed36,MarqueMed4,12345
342,1304,Medicament1304,Cond3,CategoryMed42,MarqueMed11,12345
343,1305,Medicament1305,Cond12,CategoryMed24,MarqueMed6,12345
344,1306,Medicament1306,Cond1,CategoryMed36,MarqueMed6,12345
345,1307,Medicament1307,Cond12,CategoryMed12,MarqueMed1,12345
346,1308,Medicament1308,Cond9,CategoryMed25,MarqueMed3,12345
347,1309,Medicament1309,Cond7,CategoryMed6,MarqueMed7,12345
348,131,Medicament131,Cond9,CategoryMed12,MarqueMed2,12345
349,1310,Medicament1310,Cond9,CategoryMed22,MarqueMed2,12345
350,1311,Medicament1311,Cond3,CategoryMed31,MarqueMed3,12345
351,1312,Medicament1312,Cond1,CategoryMed41,MarqueMed8,12345
352,1313,Medicament1313,Cond5,CategoryMed46,MarqueMed22,12345
353,1314,Medicament1314,Cond5,CategoryMed1,MarqueMed3,12345
354,1315,Medicament1315,Cond10,CategoryMed45,MarqueMed5,12345
355,1316,Medicament1316,Cond1,CategoryMed3,MarqueMed19,12345
356,1317,Medicament1317,Cond8,CategoryMed14,MarqueMed10,12345
357,1318,Medicament1318,Cond7,CategoryMed43,MarqueMed23,12345
358,1319,Medicament1319,Cond4,CategoryMed30,MarqueMed15,12345
359,132,Medicament132,Cond13,CategoryMed29,MarqueMed15,12345
360,1320,Medicament1320,Cond13,CategoryMed35,MarqueMed4,12345
361,1321,Medicament1321,Cond8,CategoryMed29,MarqueMed3,12345
362,1322,Medicament1322,Cond13,CategoryMed42,MarqueMed15,12345
363,1323,Medicament1323,Cond12,CategoryMed44,MarqueMed19,12345
364,1324,Medicament1324,Cond12,CategoryMed40,MarqueMed2,12345
365,1325,Medicament1325,Cond10,CategoryMed45,MarqueMed1,12345
366,1326,Medicament1326,Cond13,CategoryMed16,MarqueMed1,12345
367,1327,Medicament1327,Cond11,CategoryMed20,MarqueMed3,12345
368,1328,Medicament1328,Cond7,CategoryMed30,MarqueMed21,12345
369,1329,Medicament1329,Cond7,CategoryMed1,MarqueMed13,12345
370,133,Medicament133,Cond6,CategoryMed49,MarqueMed16,12345
371,1330,Medicament1330,Cond1,CategoryMed16,MarqueMed14,12345
372,1331,Medicament1331,Cond8,CategoryMed7,MarqueMed12,12345
373,1332,Medicament1332,Cond2,CategoryMed17,MarqueMed11,12345
374,1333,Medicament1333,Cond1,CategoryMed27,MarqueMed21,12345
375,1334,Medicament1334,Cond2,CategoryMed11,MarqueMed1,12345
376,1335,Medicament1335,Cond10,CategoryMed30,MarqueMed3,12345
377,1336,Medicament1336,Cond10,CategoryMed41,MarqueMed2,12345
378,1337,Medicament1337,Cond6,CategoryMed36,MarqueMed20,12345
379,1338,Medicament1338,Cond4,CategoryMed26,MarqueMed12,12345
380,1339,Medicament1339,Cond4,CategoryMed25,MarqueMed12,12345
381,134,Medicament134,Cond7,CategoryMed40,MarqueMed6,12345
382,1340,Medicament1340,Cond1,CategoryMed30,MarqueMed11,12345
383,1341,Medicament1341,Cond8,CategoryMed50,MarqueMed17,12345
384,1342,Medicament1342,Cond6,CategoryMed12,MarqueMed19,12345
385,1343,Medicament1343,Cond4,CategoryMed14,MarqueMed12,12345
386,1344,Medicament1344,Cond10,CategoryMed36,MarqueMed13,12345
387,1345,Medicament1345,Cond4,CategoryMed22,MarqueMed16,12345
